pop_size,generations,use_crossover,mutation_rate,seed,best_profit,lineA,lineB
100,100,False,0.05,1,9229850.397960726,"['Milky Way Midnight', 'Starburst', 'Kit Kat', ""Reese's Peanut Butter cup"", 'Milky Way', ""Reese's stuffed with pieces"", 'Twizzlers']","['Snickers', 'Twix', ""Reese's Miniatures"", 'Skittles original', 'Snickers Crisper', 'Lifesavers big ring gummies', '3 Musketeers']"
100,100,False,0.05,2,8776462.988088254,"[""Reese's Miniatures"", 'Tootsie Pop', 'Kit Kat', ""Reese's pieces"", 'Starburst', 'Twix']","['Twizzlers', 'Snickers', ""Reese's Peanut Butter cup"", '3 Musketeers', 'Milky Way', ""Reese's stuffed with pieces"", 'Sour Patch Kids']"
100,100,False,0.05,3,8793753.446293568,"['Lifesavers big ring gummies', ""Reese's Miniatures"", 'Kit Kat', 'Twizzlers', '3 Musketeers', 'Milky Way', 'Sour Patch Kids']","[""Reese's stuffed with pieces"", ""Reese's Peanut Butter cup"", 'Snickers', 'Milky Way Midnight', ""Peanut butter M&M's"", 'Starburst']"
100,100,False,0.1,1,9302385.671039857,"['Milky Way Midnight', 'Starburst', 'Kit Kat', ""Reese's Peanut Butter cup"", 'Milky Way', 'Nestle Butterfinger', 'Nestle Crunch']","['Snickers', ""Reese's Miniatures"", '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Skittles original', 'Lifesavers big ring gummies']"
100,100,False,0.1,2,9007337.910325818,"[""Reese's Miniatures"", 'Starburst', 'Skittles original', ""Reese's stuffed with pieces"", '3 Musketeers', 'Nestle Butterfinger']","['Snickers', ""Reese's Peanut Butter cup"", 'Milky Way', 'Kit Kat', 'Twix', 'Sour Patch Kids', 'Milky Way Midnight']"
100,100,False,0.1,3,8942740.44229573,"[""Reese's Miniatures"", 'Kit Kat', ""Reese's Peanut Butter cup"", 'Twix', 'Sour Patch Kids', 'Milky Way Midnight', 'Nestle Butterfinger']","[""Reese's stuffed with pieces"", 'Milky Way', 'Snickers', 'Starburst', ""Hershey's Kisses"", '3 Musketeers']"
100,100,False,0.2,1,9290440.663114186,"['Milky Way Midnight', 'Starburst', 'Kit Kat', ""Reese's stuffed with pieces"", 'Twix', ""Reese's Peanut Butter cup"", '3 Musketeers']","['Snickers', ""Reese's Miniatures"", 'Skittles original', 'Milky Way', 'Tootsie Roll Snack Bars', 'Nestle Butterfinger', 'Lifesavers big ring gummies']"
100,100,False,0.2,2,9007337.910325818,"[""Reese's Miniatures"", 'Starburst', '3 Musketeers', 'Milky Way', 'Sour Patch Kids', 'Nestle Butterfinger']","['Snickers', ""Reese's Peanut Butter cup"", 'Twix', 'Kit Kat', ""Reese's stuffed with pieces"", 'Skittles original', 'Milky Way Midnight']"
100,100,False,0.2,3,8944706.923311982,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Milky Way', '3 Musketeers', 'Kit Kat', 'Nestle Butterfinger', ""Hershey's Kisses""]","['Milky Way Midnight', ""Reese's stuffed with pieces"", 'Starburst', 'Snickers', 'Twix', 'Skittles original']"
200,100,False,0.05,1,9195741.986598015,"['Milky Way Midnight', 'Starburst', 'Kit Kat', ""Reese's stuffed with pieces"", 'Milky Way', 'Nestle Crunch', 'Nestle Butterfinger']","['Snickers', ""Reese's Peanut Butter cup"", '3 Musketeers', ""Reese's Miniatures"", 'Twix', ""Hershey's Kisses"", 'Twizzlers']"
200,100,False,0.05,2,8927000.635094836,"[""Reese's Miniatures"", 'Nestle Butterfinger', 'Starburst', 'Milky Way', 'Skittles original', 'Twix']","['Snickers', ""Reese's Peanut Butter cup"", 'Kit Kat', ""Reese's stuffed with pieces"", '3 Musketeers', 'Twizzlers', 'Sour Patch Kids']"
200,100,False,0.05,3,9288474.182097938,"[""Reese's stuffed with pieces"", 'Milky Way Midnight', ""Reese's Miniatures"", '3 Musketeers', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Sour Patch Kids']","['Kit Kat', 'Snickers', ""Reese's Peanut Butter cup"", 'Starburst', 'Milky Way', 'Twix', 'Tootsie Roll Snack Bars']"
200,100,False,0.1,1,9309915.899569875,"['Lifesavers big ring gummies', 'Milky Way Midnight', 'Starburst', 'Kit Kat', '3 Musketeers', 'Nestle Butterfinger', 'Twizzlers']","['Snickers', ""Reese's Miniatures"", 'Milky Way', 'Twix', ""Reese's Peanut Butter cup"", 'Sour Patch Kids', ""Reese's stuffed with pieces""]"
200,100,False,0.1,2,9007337.910325818,"[""Reese's Miniatures"", 'Skittles original', 'Twix', 'Sour Patch Kids', '3 Musketeers', 'Milky Way']","['Snickers', ""Reese's Peanut Butter cup"", 'Kit Kat', 'Starburst', 'Milky Way Midnight', ""Reese's stuffed with pieces"", 'Nestle Butterfinger']"
200,100,False,0.1,3,9309915.899569876,"[""Reese's stuffed with pieces"", 'Milky Way Midnight', 'Nestle Butterfinger', 'Starburst', '3 Musketeers', 'Lifesavers big ring gummies', 'Twizzlers']","['Kit Kat', 'Snickers', ""Reese's Peanut Butter cup"", ""Reese's Miniatures"", 'Sour Patch Kids', 'Milky Way', 'Twix']"
200,100,False,0.2,1,9007337.910325818,"[""Reese's Peanut Butter cup"", '3 Musketeers', 'Twix', 'Kit Kat', 'Starburst', 'Milky Way Midnight', 'Nestle Butterfinger']","[""Reese's Miniatures"", ""Reese's stuffed with pieces"", 'Milky Way', 'Snickers', 'Skittles original', 'Sour Patch Kids']"
200,100,False,0.2,2,9007337.910325818,"[""Reese's Miniatures"", ""Reese's stuffed with pieces"", 'Kit Kat', 'Twix', 'Starburst', 'Sour Patch Kids']","['Snickers', ""Reese's Peanut Butter cup"", '3 Musketeers', 'Milky Way', 'Skittles original', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,False,0.2,3,9311882.380586125,"[""Reese's stuffed with pieces"", 'Milky Way Midnight', 'Milky Way', 'Lifesavers big ring gummies', 'Nestle Butterfinger', 'Skittles original', 'Twizzlers']","['Kit Kat', 'Snickers', ""Reese's Peanut Butter cup"", ""Reese's Miniatures"", 'Starburst', '3 Musketeers', 'Twix']"
100,100,True,0.05,1,8942740.44229573,"[""Reese's Miniatures"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers', 'Milky Way']","[""Reese's Peanut Butter cup"", ""Hershey's Kisses"", '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.05,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.05,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.1,1,9309915.899569875,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.1,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.1,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
100,100,True,0.2,1,9309915.899569876,"[""Reese's Miniatures"", 'Starburst', 'Kit Kat', 'Sour Patch Kids', 'Snickers', 'Milky Way']","[""Reese's Peanut Butter cup"", '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.2,2,9311882.380586125,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger', 'Lifesavers big ring gummies', 'Twizzlers']"
100,100,True,0.2,3,8894661.422767144,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Sour Patch Tricksters', 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.05,1,8556867.949136635,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', ""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix']"
200,100,True,0.05,2,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.05,3,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,1,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,2,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.1,3,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.2,1,8556867.949136635,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', ""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix']"
200,100,True,0.2,2,9007337.910325818,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","['Sour Patch Kids', 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
200,100,True,0.2,3,8944706.92331198,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']","[""Hershey's Kisses"", 'Milky Way', '3 Musketeers', ""Reese's stuffed with pieces"", 'Twix', 'Milky Way Midnight', 'Nestle Butterfinger']"
